"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","48","50","51","53","54","55","56","57","58","59","60","61","62","63","64","67","68","69","72","74","75","76","77","78","79","80","81","82","83","84","85","86","89","90","91","92","96","98","99","101","102","103","104","105","106","107","110","111","112","113","114","115","117","119","120","121","122","126","127","131","133","134","136","141","142","143","145","150","154","157","161","163","164","201","202","203","222","223","236","238","240","245","254","266","267","268","412","420","421","427","429","432","497","498","516","555"
"1",NA,1,0,0,3,0,0,5,0,0,0,5,2,3,0,2,0,0,0,0,0,1,0,2,1,1,1,0,0,0,0,0,0,0,1,1,0,0,4,1,1,0,6,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,2,1,2,1,1,0,0,0,0,1,6,1,6,0,0,0,2,0,0,3,0,1,1,0,2,0,0,0,0,0,2,3,1,0
"2",1,NA,17,6,84,2,39,83,5,0,1,87,51,44,6,42,1,23,0,3,2,14,5,47,88,5,45,15,1,11,6,0,1,8,3,22,0,20,62,35,50,4,61,7,4,64,27,82,5,4,7,7,1,15,15,6,5,0,4,51,9,11,25,37,0,3,34,3,13,5,1,159,1,1,3,9,2,14,15,18,6,24,21,1,3,3,3,49,28,0,5,23,5,2,21,34,2,29,9,0,60,23,9,12,0,1,9,23,11,57,5,64,22,23,25,6,25,124,41,70,4,9,61,8,3,4,8,0,22,5,16,42,3,19,3,8,4,66,78,23,4
"3",0,17,NA,2,20,1,12,36,5,0,1,26,18,13,1,12,0,12,1,0,1,3,1,9,24,3,14,5,0,3,1,0,0,3,2,8,0,5,14,11,20,5,19,2,1,14,10,28,0,5,6,3,1,4,4,0,3,0,0,19,2,4,14,4,0,2,7,0,5,2,1,49,0,0,0,3,2,4,2,5,3,4,3,1,0,1,3,27,10,0,0,5,3,0,13,19,0,8,4,0,19,7,2,3,0,0,3,4,3,15,6,29,4,8,15,0,15,33,14,31,2,1,20,8,1,0,3,0,6,2,2,22,3,9,0,1,2,24,21,14,0
"4",0,6,2,NA,39,5,19,32,4,0,0,33,23,13,4,12,0,8,0,0,1,4,1,21,42,2,22,7,0,2,7,0,0,2,1,12,0,6,22,19,21,2,29,2,1,11,9,29,1,1,3,2,1,5,3,2,0,0,0,26,3,3,4,5,0,2,11,0,5,1,2,70,0,0,0,8,0,5,5,15,2,8,9,0,0,1,0,33,18,1,1,1,2,1,4,13,1,15,7,1,23,16,4,2,0,0,1,3,3,21,3,28,2,3,13,5,14,46,10,28,3,4,16,3,0,0,4,0,7,4,2,11,1,10,2,4,1,43,31,12,1
"5",3,84,20,39,NA,9,79,199,13,0,7,213,127,49,17,94,2,54,6,12,6,17,9,141,179,7,135,37,1,25,24,1,0,14,2,69,0,43,173,76,106,5,160,11,8,143,46,161,19,22,17,32,5,48,9,5,8,1,8,156,28,20,45,67,1,12,47,4,51,8,8,392,1,1,4,27,8,36,29,62,14,60,39,3,4,2,12,264,71,0,11,30,22,1,19,54,1,69,27,0,141,59,22,32,1,0,9,26,19,161,16,181,21,20,80,6,46,302,108,151,8,12,111,31,6,11,40,1,44,25,3,83,6,63,15,12,11,180,189,45,3
"6",0,2,1,5,9,NA,4,14,2,0,0,7,8,2,0,10,0,4,0,1,0,0,0,6,8,0,10,2,0,2,1,0,0,0,1,1,0,0,9,6,10,0,7,1,0,3,0,9,0,0,0,1,2,5,1,4,0,0,0,4,0,1,0,4,0,1,5,0,1,0,1,30,0,0,0,1,0,1,2,3,1,2,0,1,1,0,2,11,2,0,0,0,0,1,1,1,1,6,1,0,5,1,3,1,0,0,2,1,1,7,1,8,0,2,4,0,3,17,6,8,1,0,7,6,0,1,1,0,7,1,0,5,0,0,0,0,1,8,5,4,0
"7",0,39,12,19,79,4,NA,124,4,0,0,127,52,41,12,58,1,17,1,10,6,6,2,61,91,7,72,19,4,21,11,0,0,3,8,31,0,60,102,44,69,4,76,5,0,52,21,89,9,7,6,9,5,24,5,7,4,1,5,90,7,11,15,30,0,2,49,1,15,2,1,210,0,1,2,21,2,26,15,22,12,25,29,0,1,0,3,95,31,0,4,13,9,4,11,21,0,31,15,0,99,33,15,32,0,1,4,26,14,113,14,102,23,16,37,2,24,123,39,82,3,3,49,19,8,3,8,1,22,9,2,46,7,16,4,12,7,97,108,38,2
"8",5,83,36,32,199,14,124,NA,15,0,6,231,178,67,22,123,2,53,3,13,6,14,5,116,212,9,139,41,4,37,32,0,0,5,5,103,1,50,184,75,170,5,184,13,2,110,46,145,19,20,19,15,5,35,12,8,7,2,3,143,20,31,61,61,1,5,93,2,38,8,4,444,1,3,7,29,8,36,38,73,4,74,42,1,2,0,6,203,93,3,7,31,21,3,23,51,2,93,23,0,135,76,38,44,0,2,7,35,22,183,16,184,36,28,85,5,48,293,93,188,13,10,114,28,7,11,44,0,47,13,8,78,6,48,14,15,9,223,208,62,2
"9",0,5,5,4,13,2,4,15,NA,0,0,14,10,4,1,10,0,4,1,0,2,2,0,10,36,0,16,2,0,0,0,0,0,0,1,9,0,5,18,6,7,0,16,0,1,11,1,14,2,1,3,2,1,3,0,0,0,1,1,12,1,2,4,3,0,1,6,0,3,1,1,34,1,0,0,2,0,1,4,3,1,3,2,0,0,0,0,24,6,0,0,5,2,0,1,4,0,8,3,0,14,5,5,2,0,0,1,4,0,15,3,20,3,2,3,1,3,20,1,13,0,0,7,0,0,0,3,0,3,1,0,9,2,8,0,1,3,13,14,5,0
