"","15","18","21","22","29","51","67","81","96","110","119","145","202","222","236","429","498"
"15",NA,0,0,1,0,3,0,0,1,0,1,4,3,0,2,1,0
"18",1,NA,1,0,0,0,3,0,1,3,1,1,0,3,0,1,4
"21",0,0,NA,0,0,0,0,0,0,0,0,4,3,0,0,1,0
"22",0,0,2,NA,1,0,0,0,2,2,0,0,0,1,1,1,1
"29",1,1,0,0,NA,1,0,2,1,0,0,0,1,0,1,0,0
"51",0,0,4,4,0,NA,0,4,16,0,0,0,2,4,0,4,5
"67",1,0,0,1,1,1,NA,0,1,0,0,0,0,0,0,1,0
"81",8,20,2,1,0,0,8,NA,9,28,0,0,22,0,15,3,7
"96",0,0,0,0,0,0,0,0,NA,4,0,0,0,0,2,0,0
"110",1,0,1,0,0,15,1,0,0,NA,0,0,2,0,0,1,0
"119",0,0,0,1,0,1,1,8,1,0,NA,2,3,1,0,0,5
"145",0,0,0,1,0,17,18,49,2,1,0,NA,14,0,4,1,10
"202",0,8,0,3,0,0,1,0,8,0,0,0,NA,0,3,0,0
"222",1,0,0,0,0,0,0,8,3,0,0,5,0,NA,0,1,0
"236",0,1,0,0,0,5,0,0,0,2,4,0,0,0,NA,0,6
"429",0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,NA,0
"498",6,0,0,0,2,0,6,0,5,5,0,0,1,1,0,5,NA
