accountId,champId,avg_cs,avg_kda,avg_kill,avg_death,avg_assist,winratio,play_num
208788053,12,1.8,3.69,1.7,3.6,11.4,54,87
208788053,497,0.5,2.86,1.8,4.8,11.9,49,71
208788053,43,4.3,4.23,2.1,2.5,8.5,51,65
208788053,201,2.2,4.58,1.2,3,12.5,66,62
208788053,412,1.3,3.99,1.6,3.6,12.8,60,58
208788053,25,0.7,3.96,2.1,3.3,10.9,55,58
208788053,98,2.9,4.02,2.3,3.6,12.2,61,49
209533359,121,4.8,2.8,6.7,4.9,7,70,43
209533359,164,4.5,2.61,6.2,4.7,6.1,59,34
209533359,76,5.6,2.72,6.7,5.1,7,63,27
209533359,2,5.3,3,4.6,3.9,7.1,52,21
209533359,64,4.6,2.06,4.7,5.8,7.2,44,18
209533359,24,5.4,2.64,4.9,4.2,6.2,53,17
209533359,154,4.4,5.87,3.6,2.7,12.3,64,14
3386550,41,8.1,2.34,3.8,4.2,6,54,122
3386550,27,8.1,2.45,3.5,4.9,8.4,64,83
3386550,164,7.3,2.22,4.5,4.5,5.4,54,83
3386550,39,8.2,2.1,6,4.7,3.9,58,62
3386550,24,8,1.8,4.7,5,4.4,47,58
3386550,114,8.3,1.8,4.6,4.9,4.2,52,46
3386550,150,7.7,1.95,3.6,4.4,5,53,45
207443723,497,0.6,4.96,2.5,2.9,12.1,65,194
207443723,12,1.5,2.94,1.9,4.2,10.5,50,98
207443723,223,2.3,4.22,2.2,3.1,11,59,97
207443723,201,1.9,3.7,1.4,3.3,10.7,49,86
207443723,25,0.8,4.13,2.1,3.6,12.8,63,59
207443723,44,2,3.59,1.4,3.4,10.7,55,33
207443723,16,0.5,3.58,1.2,3.4,11.1,56,32
210160163,223,1.8,2.9,1.6,3.7,9.2,54,103
210160163,497,0.5,3.58,1.7,3.8,12,61,92
210160163,201,1.9,3.66,1.1,3.2,10.7,54,91
210160163,12,1.6,3.5,1.8,3.5,10.5,53,83
210160163,25,0.6,2.73,2.4,4.2,9.1,42,59
210160163,40,0.6,3.53,1.4,3.6,11.3,58,55
210160163,412,0.7,3.29,1.8,4.2,12,53,43
4513526,13,8.7,3.35,5.9,3.5,5.7,46,76
4513526,163,8.2,3.58,5.3,3.9,8.8,62,61
4513526,142,7.4,3.13,5.3,3.7,6.4,49,35
4513526,7,6.6,3.71,5.9,3.3,6.2,64,33
4513526,90,8.2,2.98,2.9,3.3,7,55,33
4513526,39,7.6,2.24,8,6,5.5,46,26
4513526,3,7.7,3.81,4.2,3.4,8.6,68,25
210253977,81,7.9,3.09,5.2,3.9,6.8,52,120
210253977,154,5.5,6.24,3.3,2.2,10.3,70,64
210253977,5,5.2,2.86,6.1,4.7,7.4,68,62
210253977,121,5.2,2.96,6.2,4.3,6.3,63,43
210253977,76,6.1,3.26,4.9,3.4,6.2,54,39
210253977,51,8.3,2.05,3.8,4.5,5.5,46,35
210253977,64,5,2.89,5,4.3,7.3,46,35
209484553,81,8.2,3.11,4.6,3.8,7.1,54,235
209484553,51,8.5,3.11,5.1,3.6,6.1,57,202
209484553,498,8.2,3.21,5.6,3.8,6.8,64,92
209484553,67,8.3,2.67,4.6,3.8,5.6,46,63
209484553,14,6.7,2.67,2.4,3.8,7.7,52,46
209484553,96,8.3,3.36,5.3,3.4,6.2,48,46
209484553,202,8,2.84,3.9,3.7,6.5,45,38
4440078,142,6.9,3.04,6,4,6.3,63,93
4440078,39,8,2.46,6.8,4.5,4.2,57,37
4440078,13,8.7,3.15,6.2,3.7,5.5,74,27
4440078,7,6.9,3.86,7.6,3.6,6.4,72,25
4440078,8,7.7,1.81,4,4.2,3.6,59,17
4440078,43,2.5,3.35,2.7,3.4,8.9,67,9
4440078,202,7.7,2.1,3.6,3.8,4.3,50,8
2871097,142,8.6,5.29,7.9,2.6,5.7,75,88
2871097,134,9.7,4.67,9.4,3.1,5.1,84,62
2871097,117,6.2,5.93,3,2,8.9,67,15
2871097,7,8.1,7.46,11.1,2.2,5.1,100,12
2871097,38,8.7,6,10.4,2.6,5.4,75,8
2871097,81,9.2,4.8,7.1,2.5,4.9,75,8
2871097,69,8.8,3.72,9,4.6,8,71,7
206491319,164,7.2,2.29,6,4.8,5.1,61,157
206491319,150,7.7,2.16,4.2,4.3,5.2,54,127
206491319,8,8.1,2.09,5.2,4.9,5,56,79
206491319,14,7.2,3.26,3.5,3.2,6.9,59,61
206491319,41,8.5,2.23,4.3,4.5,5.8,46,57
206491319,39,8.1,2.54,6.6,4.3,4.4,61,31
206491319,114,7.8,1.5,4.2,5.5,4,28,29
5312679,111,2.1,4.16,2.3,3.2,11.1,63,281
5312679,201,1.8,4.1,1.3,3.7,13.7,52,21
5312679,223,2.3,4.19,2.2,3.6,12.8,58,12
