name,champ,cs,kda,kill,death,assist,winratio,play
귀여운현우,Alistar,CS 43.7 (1.8),3.69:1,1.7,3.6,11.4,54%,87
귀여운현우,Rakan,CS 13.8 (0.5),2.86:1,1.8,4.8,11.9,49%,71
귀여운현우,Karma,CS 102.1 (4.3),4.23:1,2.1,2.5,8.5,51%,65
귀여운현우,Braum,CS 55.3 (2.2),4.58:1,1.2,3.0,12.5,66%,62
귀여운현우,Thresh,CS 31.8 (1.3),3.99:1,1.6,3.6,12.8,60%,58
귀여운현우,Morgana,CS 16.7 (0.7),3.96:1,2.1,3.3,10.9,55%,58
귀여운현우,Shen,CS 76.8 (2.9),4.02:1,2.3,3.6,12.2,61%,49
누구도날모를껄,Kha'Zix,CS 132.3 (4.8),2.80:1,6.7,4.9,7.0,70%,43
누구도날모를껄,Camille,CS 110.7 (4.5),2.61:1,6.2,4.7,6.1,59%,34
누구도날모를껄,Nidalee,CS 132.7 (5.6),2.72:1,6.7,5.1,7.0,63%,27
누구도날모를껄,Olaf,CS 134.0 (5.3),3.00:1,4.6,3.9,7.1,52%,21
누구도날모를껄,Lee Sin,CS 121.7 (4.6),2.06:1,4.7,5.8,7.2,44%,18
누구도날모를껄,Jax,CS 131.2 (5.4),2.64:1,4.9,4.2,6.2,53%,17
누구도날모를껄,Zac,CS 108.9 (4.4),5.87:1,3.6,2.7,12.3,64%,14
귀여운나무인간,Gangplank,CS 210.0 (8.1),2.34:1,3.8,4.2,6.0,54%,122
귀여운나무인간,Singed,CS 212.1 (8.1),2.45:1,3.5,4.9,8.4,64%,83
귀여운나무인간,Camille,CS 176.2 (7.3),2.22:1,4.5,4.5,5.4,54%,83
귀여운나무인간,Irelia,CS 198.8 (8.2),2.10:1,6.0,4.7,3.9,58%,62
귀여운나무인간,Jax,CS 202.9 (8.0),1.80:1,4.7,5.0,4.4,47%,58
귀여운나무인간,Fiora,CS 205.7 (8.3),1.80:1,4.6,4.9,4.2,52%,46
귀여운나무인간,Gnar,CS 192.8 (7.7),1.95:1,3.6,4.4,5.0,53%,45
호잇이,Rakan,CS 14.4 (0.6),4.96:1,2.5,2.9,12.1,65%,194
호잇이,Alistar,CS 36.7 (1.5),2.94:1,1.9,4.2,10.5,50%,98
호잇이,Tahm Kench,CS 61.8 (2.3),4.22:1,2.2,3.1,11.0,59%,97
호잇이,Braum,CS 47.6 (1.9),3.70:1,1.4,3.3,10.7,49%,86
호잇이,Morgana,CS 22.5 (0.8),4.13:1,2.1,3.6,12.8,63%,59
호잇이,Taric,CS 52.2 (2.0),3.59:1,1.4,3.4,10.7,55%,33
호잇이,Soraka,CS 11.5 (0.5),3.58:1,1.2,3.4,11.1,56%,32
레이팬더,Tahm Kench,CS 45.2 (1.8),2.90:1,1.6,3.7,9.2,54%,103
레이팬더,Rakan,CS 11.8 (0.5),3.58:1,1.7,3.8,12.0,61%,92
레이팬더,Braum,CS 50.0 (1.9),3.66:1,1.1,3.2,10.7,54%,91
레이팬더,Alistar,CS 39.5 (1.6),3.50:1,1.8,3.5,10.5,53%,83
레이팬더,Morgana,CS 13.6 (0.6),2.73:1,2.4,4.2,9.1,42%,59
레이팬더,Janna,CS 15.0 (0.6),3.53:1,1.4,3.6,11.3,58%,55
레이팬더,Thresh,CS 17.9 (0.7),3.29:1,1.8,4.2,12.0,53%,43
Rainbow22,Ryze,CS 222.9 (8.7),3.35:1,5.9,3.5,5.7,46%,76
Rainbow22,Taliyah,CS 225.3 (8.2),3.58:1,5.3,3.9,8.8,62%,61
Rainbow22,Zoe,CS 191.0 (7.4),3.13:1,5.3,3.7,6.4,49%,35
