"accountId","summonerName","position"
"208788053","귀여운 현우","support"
"209533359","누구도 날 모를껄","jungle"
"3386550","귀여운 나무인간","top"
"207443723","호잇이","support"
"210160163","레이 팬더","support"
"4513526","Rainbow22","middle"
"210253977","중궁인","jungle"
"209484553","17살 원딜러","adc"
"4440078","chirchri","middle"
"2871097","잘자 좋은 꿈 꿔","middle"
"206491319","지현이의빗자루","top"
"5312679","숙련자3","support"
"1025353","gunwu","middle"
"6341504","Klmjg","jungle"
"3706811","뉴트 주니어","support"
"209682437","띵킹왕","support"
"377501","좋은날","jungle"
"209084978","엽북이","jungle"
"208670326","아이러니","adc"
"2335652","구린내가심하구나","top"
"210461522","Nice JG","jungle"
"202784392","noooooooooooom","middle"
"204531622","EhingXamsi","support"
"210160161","DogRabbitCat","middle"
"203553813","GIorie","middle"
"205213320","레몬 나무","adc"
"204024521","aceerfa","top"
"2474930","단군의청춘부재","middle"
"2373709","엔페시아","adc"
"208537812","wyt0111","support"
"204672058","JAG UmTi","jungle"
"3863724","Be proud of me","middle"
"2915344","페이커 뒷바라지","jungle"
"201236882","SKT T1 ThaI","middle"
"210515107","Mark Time","top"
"202103602","이우진의 개","top"
"209157499","Nkachaiby","jungle"
"201386115","1987 Plls","top"
"210581300","qquad","middle"
"210574406","pIease heIp ","adc"
"206360056","KDM LuBu","jungle"
"206452044","귤수호자 만기","top"
"204613894","MVP ADD","top"
"209283868","TT 보배","adc"
"206772826","북쪽의 괴물","top"
"210167927","버터난프라운커리","adc"
"210168045","to my memories","top"
"209834687","17살 서폿","support"
"200621317","이 차가 식기전에","jungle"
"210168114","페리온 만지","top"
"5797364","이흥호","adc"
"206247678","Muse1","middle"
"206948172","RBE Malrang","jungle"
"206280171","율천고 최현우","middle"
"8021595","Sol로랭크2","middle"
"251709","imp8","adc"
"209063179","tjudlsawqz","adc"
"210168209","온실속의감자","adc"
"208276269","TOLAND","middle"
"755064","GimGoon","top"
"207987339","귀여운안지영","jungle"
"208357607","BBBaby","jungle"
"210167931","허허이러면후후",NA
"209992902","롤오브레전드1234","support"
"210082154","Woo Xiang 2","adc"
"209685625","Jin Air Nova","support"
"6965193","뽀오뽀오","middle"
"6871165","NekoL","adc"
"870355","블러드이블","top"
"207922335","너와나의연결Gori","middle"
"200203708","lookatmy","support"
"3141212","센센S2","jungle"
"210168020","커닝시티 천지","middle"
"6197385","Heart","middle"
"209176499","HLE Lava","middle"
"205923395","무서운 뱀 독","top"
"8027026","SKT T1 Pirean","middle"
"207570975","진에어 테디","adc"
"6451200","lwandy","support"
"2099284","검은머리사나이","middle"
"2525174","Afreeca Kramer","adc"
"209703318","kimtaem1n","support"
"210504307","Taikki","jungle"
"666395","서울카즈아","support"
"200594011","SKT T1 M4A1","top"
"3516152","마마돈워리","middle"
"203870735","GabrielCRO","jungle"
"209899057","난 질수없다","jungle"
"210426282","빙 돌아 튕겨서","support"
"202001440","오뚜기3분미트볼","top"
"251448","aoligei","middle"
"207991322","진짜잘안죽음","adc"
"909429","김국어","support"
"202937359","KT DEFT","adc"
"207884486","하얼빈의쟝첸이야","support"
"7024597","happy wind man2","jungle"
"208710504","담원 쇼메이커","middle"
"6282837","pvman","jungle"
"209333159","yiwancibeishang","jungle"
"204245747","이도류","top"
"207629924","Deifinu","adc"
"209324581","뿡 형","adc"
"200670975","명jhin이","adc"
"210429901","생뚱맞은앵뚱쌩뚱","adc"
"209230380","롤스터단합KT","top"
"208714024","Levellup","jungle"
"205914660","bully bully","top"
"4189540","아름다운 서울","jungle"
"201200763","xiaoqiupup","top"
"207874718","keria00","support"
"5775781","구마유시","adc"
"209157896","창 밖의 햇빛",NA
"209238536","Killua fans","middle"
"207332319","jungsanghyun1","support"
"210160071","KongBai","top"
"202606482","팀운이절실한사람","jungle"
"203921694","HLE Kuzan","middle"
"3494294","PandaTV51654","jungle"
"210296071","ceIlceIl","support"
"205199428","So1o","jungle"
"209785752","아프니까청춘이야","jungle"
"209292288","NOoOB Z","jungle"
"208975045","zlp gj","jungle"
"3547852","KZ Khan","top"
"209161524","lbkgnfkgng","adc"
"207850002","루팡 그냥너","adc"
"208191209","20 1 1 14","jungle"
"206944308","먹는게즐거워","support"
"209692491","서툴러요","jungle"
"209070922","댕 체","middle"
"5482776","SKT T1 Bang","adc"
"2866544","Sol로랭크","middle"
"210078073","퍼플팀 EA","middle"
"210412595","유노유키","adc"
"201481153","KDM SSol","adc"
"210168129","건들면총든다","support"
"201009223","6학년4반장용준","adc"
"204544908","Destiny","support"
"4735341","정상적인 심장","top"
"4823948","jiang you ping ","jungle"
"210167954","진에어 곰탱이","adc"
"1309737","Gen G cuvee","top"
"208771386","its my day","jungle"
"203769662","JAG Grace","middle"
"6968626","카페베네설탕도둑","middle"
"207100227","DWG ShowMaker","middle"
"204098604","Lehends","support"
"4286691","4seidon","support"
"1890305","Jin Air SoHwan","top"
"2881442","커피물조절장인","top"
"4989204","독이 있다","middle"
"210167948","ABC123D4","adc"
"206358340","Gen G Ruler","adc"
"209298024","DoRun","top"
"2713769","WE 77","support"
"3511615","Gen G CoreJJ","support"
"210249023","MAD l3reeze","adc"
"1785347","AD EZ 15 GG","middle"
"203020098","bbq seirA","adc"
"202021894","handcIap","jungle"
"200831019","령 웅",NA
"3440481","Hide on bush","middle"
"4046217","Still love","top"
"204394141","커닝시티 피그미","jungle"
"209376444","Sharksinthesea","adc"
"209742739","승달리","jungle"
"206966030","xiaolongbacc","jungle"
"204062750","Gen G Life","support"
"208684744","너희 정말 돼지야","support"
"203073673","SKT T1 Le0","adc"
"205499309","Baby123","jungle"
"5258842","사스갓지지","middle"
"209173070","MADKlNG","adc"
"210168031","Deft12345678","adc"
"1410285","baramgaebi","top"
"210168025","아이거또어우","support"
"208458477","Never be Carry C","top"
"4566463","SeIect1","adc"
"202561023","Seroum","jungle"
"203542532","남동현","support"
"204167188","츠코파이","jungle"
"5670561","IruguN","top"
"3454455","cyeol","middle"
"210167935","MoonLight2","middle"
"205248873","MVP Ian","middle"
"206897280","BtC Savage","jungle"
"207309342","See u AG","jungle"
"4586738","칼과 창 방패","top"
"200543394","이기자 할수있다","top"
"1646013","KDM Roach","top"
"203011568","DWG Punch","jungle"
"210406219","yizhiyuyy","jungle"
"206501884","출애굽기15장27절","jungle"
"201232698","DWG BeryL","support"
"6203629","Cyberbully","jungle"
"6358198","멘탈과실력을겸비","top"
"2855003","NBadL","top"
