result,c1,c2,c3,c4,c5
Win,Blitzcrank,Kalista,Swain,Ahri,Evelynn
Win,Master Yi,Zed,Leona,Lucian,Riven
Win,Zoe,Jhin,Olaf,Jax,Janna
Win,Alistar,Singed,Karthus,Kha'Zix,Tristana
Win,Lucian,Alistar,LeBlanc,Rengar,Camille
Win,Jhin,Illaoi,Malzahar,Lee Sin,Alistar
Win,Irelia,Jhin,Rakan,Singed,Skarner
Win,Kai'Sa,Poppy,Xin Zhao,Alistar,Irelia
Win,Kog'Maw,Vayne,Fizz,Xin Zhao,Braum
Win,Jarvan IV,Lucian,Nami,Fizz,Vladimir
Win,Zoe,Draven,Quinn,Graves,Fiddlesticks
Win,Elise,Brand,Talon,Fiora,Vayne
Win,Nidalee,Ezreal,Renekton,Fizz,Karma
Win,Tahm Kench,Karthus,Fiddlesticks,Zoe,Miss Fortune
Win,Rengar,Karthus,Jhin,Jax,Blitzcrank
Win,Rek'Sai,Karma,Ekko,Ezreal,Irelia
Win,Karma,Pyke,Tristana,Irelia,Trundle
Win,Cassiopeia,Nunu,Darius,Xayah,Rakan
Win,Kai'Sa,Evelynn,Morgana,Ryze,Garen
Win,Alistar,Udyr,Cassiopeia,Riven,Ezreal
Win,Kai'Sa,Irelia,Vladimir,Alistar,Kled
Win,Zilean,Yasuo,Sejuani,Vladimir,Brand
Win,Alistar,Jax,Sion,Nidalee,Jhin
Win,Soraka,Alistar,Maokai,Jax,Darius
Win,Graves,Taliyah,Kai'Sa,Alistar,Shen
Win,Morgana,Camille,Zoe,Kai'Sa,Jax
Win,Brand,Ezreal,Tryndamere,Galio,Rek'Sai
Win,Alistar,Xin Zhao,Irelia,Kai'Sa,Urgot
Win,Yasuo,Rakan,Jayce,Lissandra,Ziggs
Win,Vladimir,Ezreal,Rakan,Rek'Sai,Swain
Win,Xerath,Lee Sin,Janna,Nasus,Gangplank
Win,Ezreal,Ekko,Xin Zhao,Morgana,Dr. Mundo
Win,Thresh,Trundle,Braum,Camille,Lucian
Win,Garen,Cassiopeia,Pyke,Fizz,Ezreal
Win,Ryze,Fiddlesticks,Camille,Xayah,Tryndamere
Win,Rek'Sai,Lucian,Rakan,Twisted Fate,Singed
Win,Lux,Gragas,Vayne,Thresh,Jhin
Win,Kog'Maw,Janna,Ornn,Lulu,Skarner
Win,Sivir,Tristana,Blitzcrank,Bard,Jayce
Win,Ezreal,Braum,Heimerdinger,Talon,Camille
Win,Lulu,Heimerdinger,Xin Zhao,Ezreal,Pyke
