name,champ,cs,kda,kill,death,assist,winratio,play
knight8,Zoe,CS 193.5 (7.5),2.65:1,7.6,5.3,6.6,55%,139
knight8,LeBlanc,CS 183.5 (7.2),2.95:1,8.4,4.9,6.2,61%,92
knight8,Ryze,CS 224.6 (9.0),2.58:1,6.5,4.8,5.9,51%,89
knight8,Kassadin,CS 190.0 (8.0),2.79:1,7.0,4.4,5.4,59%,68
knight8,Cassiopeia,CS 212.4 (8.7),2.72:1,6.9,4.8,6.1,68%,60
knight8,Orianna,CS 241.7 (9.0),2.84:1,5.9,4.7,7.5,55%,38
knight8,Taliyah,CS 218.3 (8.0),3.12:1,8.3,5.5,8.8,56%,34
바위게내꺼야,Camille,CS 137.6 (5.6),4.18:1,5.9,3.4,8.2,72%,18
바위게내꺼야,Taliyah,CS 144.0 (5.9),4.82:1,7.1,3.3,8.8,88%,17
바위게내꺼야,Graves,CS 165.6 (7.3),4.46:1,6.5,2.7,5.5,77%,13
바위게내꺼야,Nocturne,CS 143.7 (5.6),3.58:1,6.6,4.0,7.8,75%,12
바위게내꺼야,Xin Zhao,CS 130.8 (5.1),3.27:1,6.3,4.6,8.6,67%,9
바위게내꺼야,Skarner,CS 137.0 (5.5),7.25:1,4.1,2.0,10.4,63%,8
바위게내꺼야,Ezreal,CS 170.3 (8.1),3.79:1,4.0,3.0,7.4,50%,8
quaddd,Cassiopeia,CS 212.2 (8.5),3.83:1,7.5,3.5,5.9,76%,139
quaddd,Zoe,CS 182.6 (7.3),3.47:1,6.7,3.9,6.8,62%,113
quaddd,Irelia,CS 189.3 (7.5),2.15:1,6.1,5.3,5.3,51%,75
quaddd,Orianna,CS 202.2 (8.3),3.30:1,4.4,3.5,7.3,64%,53
quaddd,Yasuo,CS 169.8 (7.4),1.93:1,4.1,5.0,5.5,65%,26
quaddd,Katarina,CS 166.3 (6.5),2.58:1,7.0,5.0,5.9,57%,21
quaddd,Lulu,CS 145.3 (6.2),2.95:1,3.1,3.7,7.8,44%,18
Pireannn,Orianna,CS 215.1 (8.7),4.41:1,4.4,2.8,8.2,71%,56
Pireannn,Zyra,CS 33.5 (1.4),2.63:1,3.3,4.3,8.0,67%,54
Pireannn,Talon,CS 185.5 (7.7),2.23:1,6.0,4.8,4.6,45%,53
Pireannn,Vladimir,CS 205.1 (7.9),2.25:1,5.3,5.2,6.4,47%,34
Pireannn,Lulu,CS 157.7 (6.9),3.17:1,3.4,3.2,6.8,52%,33
Pireannn,Malzahar,CS 215.4 (8.5),2.57:1,3.8,4.5,7.6,59%,32
Pireannn,Ryze,CS 218.7 (9.0),2.00:1,4.9,4.8,4.7,46%,24
칼과창방패,Poppy,CS 146.5 (5.9),2.68:1,3.7,3.7,6.1,58%,686
칼과창방패,Ekko,CS 155.7 (6.1),2.19:1,5.3,4.7,4.9,50%,40
칼과창방패,Galio,CS 169.8 (6.7),2.63:1,3.4,4.1,7.4,48%,33
칼과창방패,Ornn,CS 146.8 (5.8),2.27:1,2.3,3.9,6.4,45%,29
칼과창방패,Warwick,CS 142.5 (5.5),1.84:1,4.3,6.1,6.9,47%,19
칼과창방패,Jax,CS 139.6 (6.3),1.56:1,4.1,4.9,3.5,63%,16
칼과창방패,Renekton,CS 174.4 (6.9),1.71:1,3.9,4.9,4.6,31%,16
MVPADD,Camille,CS 205.8 (8.0),3.39:1,5.8,3.4,5.6,68%,66
MVPADD,Gangplank,CS 216.5 (8.5),3.17:1,4.2,3.5,6.8,61%,46
MVPADD,Sion,CS 188.0 (7.4),4.95:1,3.4,2.2,7.6,75%,28
MVPADD,Irelia,CS 228.0 (8.6),2.50:1,5.3,4.5,5.9,48%,25
MVPADD,Ornn,CS 188.9 (6.8),4.16:1,3.6,3.5,10.9,75%,16
MVPADD,Dr. Mundo,CS 195.6 (8.0),3.17:1,3.9,2.9,5.3,63%,16
MVPADD,Vladimir,CS 228.4 (8.0),2.58:1,4.8,3.9,5.3,63%,16
MADKlNG,Ezreal,CS 240.7 (9.1),5.13:1,6.4,2.6,6.9,63%,43
MADKlNG,Vladimir,CS 232.6 (9.2),4.19:1,6.0,2.9,6.3,62%,29
MADKlNG,Vayne,CS 186.1 (8.6),2.22:1,3.1,3.2,4.1,52%,29
MADKlNG,Xayah,CS 259.9 (9.7),3.31:1,4.8,3.1,5.5,42%,24
MADKlNG,Kai'Sa,CS 234.5 (9.4),2.53:1,4.9,3.5,4.0,43%,23
MADKlNG,Rakan,CS 29.0 (1.1),4.32:1,3.5,4.1,14.3,70%,20
MADKlNG,Swain,CS 211.5 (8.9),2.93:1,3.6,3.0,5.2,50%,18
DWGBeryL,Braum,CS 53.2 (2.0),4.13:1,1.2,3.1,11.5,51%,186
DWGBeryL,Alistar,CS 44.5 (1.7),2.83:1,2.0,4.4,10.5,46%,105
DWGBeryL,Rakan,CS 15.9 (0.6),3.48:1,1.5,3.3,10.1,53%,93
