name,ranking,tier,LP,level,win,lose,winratio
knight8,1, Challenger,1267,133,568,436,57%
¹ÙÀ§°Ô ³»²¨¾ß,2, Challenger,1208,41,97,38,72%
quaddd,3, Challenger,1237,71,332,221,60%
Pireannn,4, Challenger,1107,72,377,286,57%
Ä®°ú Ã¢ ¹æÆÐ,5, Challenger,1106,132,500,419,54%
MVP ADD,6,Challenger,1088,82,262,186,58%
MADKlNG,7,Challenger,1054,118,299,222,57%
DWG BeryL,8,Challenger,1046,153,748,664,53%
tjudlsawqz,9,Challenger,1040,79,387,290,57%
DontRemakeAatrox,10,Challenger,1037,114,318,240,57%
Hide on bush,11,Challenger,1000,139,630,557,53%
¾ÆÀÌ°Å¶Ç¾î¿ì,12,Challenger,998,68,307,237,56%
KZ Cuzz,13,Challenger,1010,101,462,385,55%
°Å´ëÇö,14,Challenger,969,57,270,180,60%
EEW SSUN,15,Challenger,948,84,338,254,57%
just be patient,16,Challenger,938,147,761,692,52%
·Ñ¿Àºê·¹Àüµå1234,17,Challenger,936,113,484,410,54%
·Ñ½ºÅÍ´ÜÇÕKT,18,Challenger,942,132,812,730,53%
Luka M0dric,19,Challenger,915,69,227,166,58%
´ÙÀÌ¾îµ©,20,Challenger,839,209,627,564,53%
Seroum,21,Challenger,850,99,325,256,56%
GimGoon,22,Challenger,849,69,287,223,56%
SKT T1 ThaI,23,Challenger,840,128,484,417,54%
wkfgkrhtlvdj,24,Challenger,839,129,568,506,53%
ÇÏ¾óºóÀÇÀöÃ¾ÀÌ¾ß,25,Challenger,836,66,289,193,60%
´ó Ã¼,26,Challenger,826,141,723,635,53%
ÇÐ½Ä¸ÔÀ»³ªÀÌ,27,Challenger,821,62,230,166,58%
DWG ShowMaker,28,Challenger,819,119,498,415,55%
KT Ucal,29,Challenger,818,85,409,343,54%
SKT T1 Bang,30,Challenger,818,98,311,250,55%
zzzzzzzzzzzz1,31,Challenger,814,98,478,419,53%
´©¿ì¿î»ç¶÷,32,Challenger,793,94,360,301,54%
Ã÷ÄÚÆÄÀÌ,33,Challenger,791,78,251,179,58%
DWG Nuguri,34,Challenger,787,76,258,201,56%
ZIBISUP,35,Challenger,784,88,350,276,56%
KZ Peanut,36,Challenger,782,125,490,425,54%
ÆÛ±×°³Á¹±Í,37,Challenger,782,83,327,260,56%
